radius,avg_visits_per_cell
1,1
2,1
3,1.27586
4,1.32653
5,1.39506
6,1.35398
7,1.37584
8,1.4264
9,1.50593
10,1.46688
11,1.48806
12,1.51701
13,1.54442
14,1.54812
15,1.58674
16,1.54705
17,1.58602
18,1.60258
19,1.62356
20,1.63325
21,1.65841
22,1.65392
23,1.67272
24,1.67373
25,1.70168
26,1.69024
27,1.71298
28,1.70281
29,1.71814
30,1.71606
31,1.7011
32,1.71299
33,1.76269
34,1.7349
35,1.762
36,1.75993
37,1.7454
38,1.76756
39,1.7871
40,1.76896
41,1.78768
42,1.79348
43,1.80152
44,1.79381
45,1.81119
46,1.80483
47,1.80451
48,1.80078
49,1.81754
50,1.81479
51,1.82711
52,1.82523
53,1.83914
54,1.83368
55,1.83824
56,1.83413
57,1.84483
58,1.84115
59,1.84523
60,1.85251
61,1.85952
62,1.86162
63,1.87625
64,1.84712
65,1.86672
66,1.86448
67,1.86236
68,1.87142
69,1.87658
70,1.87166
71,1.87068
72,1.87384
73,1.88852
74,1.88641
75,1.89624
76,1.88761
77,1.89481
78,1.8934
79,1.89534
80,1.889
81,1.89778
82,1.89778
83,1.89916
84,1.90254
85,1.90992
86,1.90468
87,1.91077
88,1.90503
89,1.91672
90,1.91539
91,1.91549
92,1.91308
93,1.91361
94,1.91918
95,1.92828
96,1.91476
97,1.92207
98,1.9201
99,1.93871
100,1.92816
101,1.92776
102,1.93167
103,1.92637
104,1.9321
105,1.94486
106,1.93271
107,1.93589
108,1.93641
109,1.93798
110,1.94173
111,1.94132
112,1.93832
113,1.94929
114,1.94859
115,1.95261
116,1.94688
117,1.95614
118,1.94992
119,1.95239
120,1.95027
121,1.95212
122,1.95622
123,1.95929
124,1.95468
125,1.95898
126,1.95899
127,1.9581
128,1.95752
129,1.96737
130,1.96388
131,1.96799
132,1.96495
133,1.97125
134,1.96452
135,1.97313
136,1.96693
137,1.9668
138,1.97075
139,1.97025
140,1.97099
141,1.97256
142,1.97313
143,1.97669
144,1.96969
145,1.9803
146,1.97926
147,1.98289
148,1.97864
149,1.98025
150,1.9825
